nohup: ignoring input
02:28:24 HiRAG INFO: Loading the document from the document path: benchmark/2wiki/2wiki_corpus.txt
[2025-06-20T02:28:24Z WARN  lance::dataset::scanner] nprobes is not set because nearest has not been called yet
02:28:24 HiRAG INFO: Loaded 2770 documents
02:28:58 HiRAG INFO: Chunking time: 33.878s
02:28:58 HiRAG INFO: Chunking time: 33.882s
02:28:58 HiRAG INFO: Chunking time: 33.881s
02:28:58 HiRAG INFO: Chunking time: 33.919s
02:28:58 HiRAG INFO: Chunking time: 33.918s
02:28:58 HiRAG INFO: Chunking time: 33.917s
02:28:58 HiRAG INFO: Chunking time: 33.916s
02:28:58 HiRAG INFO: Chunking time: 33.916s
02:28:58 HiRAG INFO: Chunking time: 33.915s
02:28:58 HiRAG INFO: Chunking time: 33.914s
02:28:58 HiRAG INFO: Chunking time: 33.913s
02:28:58 HiRAG INFO: Chunking time: 33.912s
02:28:58 HiRAG INFO: Chunking time: 33.911s
02:28:58 HiRAG INFO: Chunking time: 33.909s
02:28:58 HiRAG INFO: Chunking time: 33.908s
02:28:58 HiRAG INFO: Chunking time: 33.907s
02:28:58 HiRAG INFO: Chunking time: 33.906s
02:28:58 HiRAG INFO: Chunking time: 33.905s
02:28:58 HiRAG INFO: Chunking time: 33.904s
02:28:58 HiRAG INFO: Chunking time: 33.903s
02:28:58 HiRAG INFO: Chunking time: 33.902s
02:28:58 HiRAG INFO: Chunking time: 33.901s
02:28:58 HiRAG INFO: Chunking time: 33.900s
02:28:58 HiRAG INFO: Chunking time: 33.899s
02:28:58 HiRAG INFO: Chunking time: 33.898s
02:28:58 HiRAG INFO: Chunking time: 33.897s
02:28:58 HiRAG INFO: Chunking time: 33.896s
02:28:58 HiRAG INFO: Chunking time: 33.895s
02:28:58 HiRAG INFO: Chunking time: 33.894s
02:28:58 HiRAG INFO: Chunking time: 33.893s
02:28:58 HiRAG INFO: Chunking time: 33.892s
02:28:58 HiRAG INFO: Chunking time: 33.890s
02:28:58 HiRAG INFO: Chunking time: 33.889s
02:28:58 HiRAG INFO: Chunking time: 33.888s
02:28:58 HiRAG INFO: Chunking time: 33.887s
02:28:58 HiRAG INFO: Chunking time: 33.886s
02:28:58 HiRAG INFO: Chunking time: 33.884s
02:28:58 HiRAG INFO: Chunking time: 33.883s
02:28:58 HiRAG INFO: Chunking time: 33.882s
02:28:58 HiRAG INFO: Chunking time: 33.881s
02:28:58 HiRAG INFO: Chunking time: 33.879s
02:28:58 HiRAG INFO: Chunking time: 33.927s
02:28:58 HiRAG INFO: Chunking time: 33.937s
02:28:58 HiRAG INFO: Chunking time: 33.937s
02:28:58 HiRAG INFO: Chunking time: 33.939s
02:28:58 HiRAG INFO: Chunking time: 33.938s
02:28:58 HiRAG INFO: Chunking time: 33.936s
02:28:58 HiRAG INFO: Chunking time: 33.935s
02:28:58 HiRAG INFO: Chunking time: 33.933s
02:28:58 HiRAG INFO: Chunking time: 33.931s
02:28:58 HiRAG INFO: Chunking time: 33.930s
02:28:58 HiRAG INFO: Chunking time: 33.928s
02:28:58 HiRAG INFO: Chunking time: 33.929s
02:28:58 HiRAG INFO: Chunking time: 33.927s
02:28:58 HiRAG INFO: Chunking time: 33.925s
02:28:58 HiRAG INFO: Chunking time: 33.924s
02:28:58 HiRAG INFO: Chunking time: 33.923s
02:28:58 HiRAG INFO: Chunking time: 33.921s
02:28:58 HiRAG INFO: Chunking time: 33.919s
02:28:58 HiRAG INFO: Chunking time: 33.914s
02:28:58 HiRAG INFO: Chunking time: 33.912s
02:28:58 HiRAG INFO: Chunking time: 33.910s
02:28:58 HiRAG INFO: Chunking time: 33.908s
02:28:58 HiRAG INFO: Chunking time: 33.906s
02:28:58 HiRAG INFO: Chunking time: 33.904s
02:28:58 HiRAG INFO: Chunking time: 33.902s
02:28:58 HiRAG INFO: Chunking time: 33.918s
02:28:58 HiRAG INFO: Chunking time: 33.898s
02:28:58 HiRAG INFO: Chunking time: 33.895s
02:28:58 HiRAG INFO: Chunking time: 33.893s
02:28:58 HiRAG INFO: Chunking time: 33.891s
02:28:58 HiRAG INFO: Chunking time: 33.888s
02:28:58 HiRAG INFO: Chunking time: 33.883s
02:28:58 HiRAG INFO: Chunking time: 33.886s
02:28:58 HiRAG INFO: Chunking time: 33.881s
02:28:58 HiRAG INFO: Chunking time: 33.878s
02:28:58 HiRAG INFO: Chunking time: 33.872s
02:28:58 HiRAG INFO: Chunking time: 33.875s
02:28:58 HiRAG INFO: Chunking time: 33.870s
02:28:58 HiRAG INFO: Chunking time: 33.864s
02:28:58 HiRAG INFO: Chunking time: 33.867s
02:28:58 HiRAG INFO: Chunking time: 33.862s
02:28:58 HiRAG INFO: Chunking time: 33.859s
02:28:58 HiRAG INFO: Chunking time: 33.856s
02:28:58 HiRAG INFO: Chunking time: 33.854s
02:28:58 HiRAG INFO: Chunking time: 33.851s
02:28:58 HiRAG INFO: Chunking time: 33.849s
02:28:58 HiRAG INFO: Chunking time: 33.843s
02:28:58 HiRAG INFO: Chunking time: 33.846s
02:28:58 HiRAG INFO: Chunking time: 33.837s
02:28:58 HiRAG INFO: Chunking time: 33.835s
02:28:58 HiRAG INFO: Chunking time: 33.832s
02:28:58 HiRAG INFO: Chunking time: 33.829s
02:28:58 HiRAG INFO: Chunking time: 33.826s
02:28:58 HiRAG INFO: Chunking time: 33.842s
02:28:58 HiRAG INFO: Chunking time: 33.824s
02:28:58 HiRAG INFO: Chunking time: 33.821s
02:28:58 HiRAG INFO: Chunking time: 33.817s
02:28:58 HiRAG INFO: Chunking time: 33.819s
02:28:58 HiRAG INFO: Chunking time: 33.816s
02:28:58 HiRAG INFO: Chunking time: 33.813s
02:28:58 HiRAG INFO: Chunking time: 33.811s
02:28:58 HiRAG INFO: Chunking time: 33.809s
02:28:58 HiRAG INFO: Chunking time: 33.807s
02:28:58 HiRAG INFO: Chunking time: 33.805s
02:28:58 HiRAG INFO: Chunking time: 33.808s
02:28:58 HiRAG INFO: Chunking time: 33.806s
02:28:58 HiRAG INFO: Chunking time: 33.806s
