14:43:30 HiRAG INFO: Loading the document from the document path: benchmark/2wiki/2wiki_corpus_100.txt
[2025-06-19T14:43:30Z WARN  lance::dataset::scanner] nprobes is not set because nearest has not been called yet
14:43:30 HiRAG INFO: Loaded 36 documents
14:43:43 HiRAG INFO: Chunking time: 13.627s
14:43:43 HiRAG INFO: Chunking time: 13.627s
14:43:43 HiRAG INFO: Chunking time: 13.628s
14:43:43 HiRAG INFO: Chunking time: 13.627s
14:43:43 HiRAG INFO: Chunking time: 13.627s
14:43:43 HiRAG INFO: Chunking time: 13.626s
14:43:43 HiRAG INFO: Chunking time: 13.625s
14:43:43 HiRAG INFO: Chunking time: 13.625s
14:43:43 HiRAG INFO: Chunking time: 13.624s
14:43:43 HiRAG INFO: Chunking time: 13.623s
14:43:43 HiRAG INFO: Chunking time: 13.623s
14:43:43 HiRAG INFO: Chunking time: 13.622s
14:43:43 HiRAG INFO: Chunking time: 13.621s
14:43:43 HiRAG INFO: Chunking time: 13.620s
14:43:43 HiRAG INFO: Chunking time: 13.627s
14:43:43 HiRAG INFO: Chunking time: 13.626s
14:43:43 HiRAG INFO: Chunking time: 13.625s
14:43:43 HiRAG INFO: Chunking time: 13.625s
14:43:43 HiRAG INFO: Chunking time: 13.624s
14:43:43 HiRAG INFO: Chunking time: 13.623s
14:43:43 HiRAG INFO: Chunking time: 13.622s
14:43:43 HiRAG INFO: Chunking time: 13.620s
14:43:43 HiRAG INFO: Chunking time: 13.619s
14:43:43 HiRAG INFO: Chunking time: 13.618s
14:43:43 HiRAG INFO: Chunking time: 13.617s
14:43:43 HiRAG INFO: Chunking time: 13.616s
14:43:43 HiRAG INFO: Chunking time: 13.615s
14:43:43 HiRAG INFO: Chunking time: 13.613s
14:43:43 HiRAG INFO: Chunking time: 13.612s
14:43:43 HiRAG INFO: Chunking time: 13.611s
14:43:43 HiRAG INFO: Chunking time: 13.610s
14:43:43 HiRAG INFO: Chunking time: 13.608s
14:43:43 HiRAG INFO: Chunking time: 13.608s
14:43:43 HiRAG INFO: Chunking time: 13.606s
14:43:43 HiRAG INFO: Chunking time: 13.605s
14:43:43 HiRAG INFO: Chunking time: 13.604s
14:43:44 HiRAG INFO: Upsert chunks time: 1.182s
14:43:45 HiRAG INFO: Upsert chunks time: 2.081s
14:43:46 HiRAG INFO: Upsert chunks time: 2.681s
14:43:47 HiRAG INFO: Upsert chunks time: 4.069s
14:43:48 HiRAG INFO: Upsert chunks time: 5.074s
14:43:49 HiRAG INFO: Upsert chunks time: 6.090s
14:43:50 HiRAG INFO: Upsert chunks time: 7.231s
14:43:51 HiRAG INFO: Upsert chunks time: 8.119s
14:43:52 HiRAG INFO: Upsert chunks time: 9.123s
14:43:55 HiRAG INFO: Upsert chunks time: 11.657s
14:43:55 HiRAG INFO: Entity extraction time: 8.992s
14:43:56 HiRAG INFO: Upsert chunks time: 12.608s
14:43:56 HiRAG INFO: Entity extraction time: 10.649s
14:43:57 HiRAG INFO: Entity extraction time: 7.256s
14:43:57 HiRAG INFO: Entity extraction time: 9.326s
14:43:57 HiRAG INFO: Entity extraction time: 12.427s
14:43:57 HiRAG INFO: Upsert chunks time: 13.633s
14:43:58 HiRAG INFO: Entity extraction time: 9.431s
14:43:58 HiRAG INFO: Upsert chunks time: 14.643s
14:43:59 HiRAG INFO: Upsert chunks time: 15.667s
14:44:00 HiRAG INFO: Entity extraction time: 7.411s
14:44:01 HiRAG INFO: Upsert chunks time: 17.595s
14:44:01 HiRAG INFO: Entity extraction time: 9.777s
14:44:02 HiRAG INFO: Upsert chunks time: 18.726s
14:44:03 HiRAG INFO: Entity extraction time: 6.897s
14:44:03 HiRAG INFO: Entity extraction time: 13.053s
14:44:04 HiRAG INFO: Upsert chunks time: 20.612s
14:44:05 HiRAG INFO: Entity extraction time: 9.746s
14:44:05 HiRAG INFO: Upsert chunks time: 21.662s
14:44:05 HiRAG INFO: Entity extraction time: 6.565s
14:44:06 HiRAG INFO: Upsert chunks time: 22.581s
14:44:06 HiRAG INFO: Entity extraction time: 8.149s
14:44:07 HiRAG INFO: Upsert chunks time: 23.576s
14:44:07 HiRAG INFO: Entity extraction time: 10.231s
14:44:08 HiRAG INFO: Upsert chunks time: 24.591s
14:44:09 HiRAG INFO: Upsert chunks time: 25.697s
